Date,Time,SiteCode,Location,Timezone,Parameter,Unit,Value,Agency
01/10/17,08:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,8.0,South Coast AQMD
01/10/17,08:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,21.0,South Coast AQMD
01/10/17,09:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,11.0,South Coast AQMD
01/10/17,09:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,19.0,South Coast AQMD
01/10/17,10:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,9.0,South Coast AQMD
01/10/17,10:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,21.0,South Coast AQMD
01/10/17,11:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,15.0,South Coast AQMD
01/10/17,11:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,21.0,South Coast AQMD
01/10/17,12:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,9.0,South Coast AQMD
01/10/17,12:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,15.0,South Coast AQMD
01/10/17,13:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,12.0,South Coast AQMD
01/10/17,13:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,22.0,South Coast AQMD
01/10/17,14:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,7.0,South Coast AQMD
01/10/17,14:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,27.0,South Coast AQMD
01/10/17,15:00,060371103,Los Angeles - N. Mai,-8,PM2.5,UG/M3,15.0,South Coast AQMD
01/10/17,15:00,060371103,Los Angeles - N. Mai,-8,PM10,UG/M3,22.0,South Coast AQMD
01/10/17,08:00,060374004,South Long Beach,-8,PM2.5,UG/M3,9.7,South Coast AQMD
01/10/17,09:00,060374004,South Long Beach,-8,PM2.5,UG/M3,16.5,South Coast AQMD
01/10/17,10:00,060374004,South Long Beach,-8,PM2.5,UG/M3,10.9,South Coast AQMD
01/10/17,11:00,060374004,South Long Beach,-8,PM2.5,UG/M3,10.9,South Coast AQMD
01/10/17,12:00,060374004,South Long Beach,-8,PM2.5,UG/M3,9.0,South Coast AQMD
01/10/17,13:00,060374004,South Long Beach,-8,PM2.5,UG/M3,7.8,South Coast AQMD
01/10/17,14:00,060374004,South Long Beach,-8,PM2.5,UG/M3,10.2,South Coast AQMD
01/10/17,15:00,060374004,South Long Beach,-8,PM2.5,UG/M3,12.9,South Coast AQMD
